#          T          mu       sigma           H       Error
   0.0156922    0.770661     0.62806   -0.440553  0.00177001
   0.0153784    0.719827    0.685713   -0.404274  0.00249371
   0.0150708    0.747764    0.604613   -0.433591  0.00161814
   0.0147694    0.771933    0.613797   -0.442315  0.00153493
    0.014474    0.749306     0.64961   -0.427671  0.00217806
   0.0141845     0.73595    0.648419   -0.424282  0.00175906
   0.0139009    0.793827    0.626655   -0.446391  0.00219782
   0.0136228    0.828719     0.64585     -0.4306  0.00286638
   0.0133504    0.834258    0.590471   -0.436243  0.00181575
   0.0130834    0.777602    0.645784   -0.435017  0.00224903
   0.0128217     0.81596    0.604285   -0.441911  0.00197316
   0.0125653    0.827121    0.622516   -0.438319  0.00224968
    0.012314    0.773929    0.646717   -0.436705  0.00181933
   0.0120677     0.80306    0.596769   -0.442588  0.00199696
   0.0118263    0.804627    0.616593   -0.443637  0.00168223
   0.0115898    0.772627    0.677683   -0.426574   0.0024632
    0.011358    0.728068     0.63384   -0.425863  0.00167016
   0.0111308    0.723116    0.594703   -0.423718  0.00165444
   0.0109082     0.74144    0.604023   -0.430228  0.00161523
   0.0106901    0.755559    0.607319   -0.439767  0.00137164
   0.0104763     0.72348    0.547481   -0.386678  0.00268816
   0.0102667     0.75692    0.611293   -0.440338  0.00161208
   0.0100614    0.797172    0.569287   -0.425694  0.00235865
