# DISTANCE:     AVE_GOFR:        ERROR:
      1.9109     1.06336  0.00961102
     1.93655     1.10122  0.00848391
      1.9622     1.12747  0.00598198
     1.98785     1.15881  0.00445163
      2.0135     1.18356  0.00378219
     2.03915     1.21011   0.0144824
      2.0648     1.21972   0.0117554
     2.09045     1.21507   0.0106621
      2.1161     1.20418  0.00974369
     2.14174      1.1872  0.00732484
     2.16739     1.17609   0.0129591
     2.19304     1.14161   0.0115858
     2.21869     1.11976  0.00700405
     2.24434     1.08194  0.00613356
     2.26999     1.05712  0.00252036
     2.29564     1.03767  0.00417463
     2.32129     1.01644  0.00367167
     2.34694    0.983241  0.00764939
     2.37259    0.968427  0.00552308
     2.39824    0.942133  0.00605583
     2.42389    0.922846  0.00690911
     2.44954    0.912066  0.00913554
     2.47519    0.897528  0.00747717
     2.50084    0.895801  0.00614664
     2.52649    0.890851  0.00454563
     2.55214    0.892395  0.00395017
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 0.000812246 0.000261312
    0.910562   0.0251669  0.00209631
    0.936212    0.175649  0.00476605
    0.961861    0.595324  0.00472957
    0.987511     1.22849      0.0117
     1.01316     1.88303   0.0118017
     1.03881     2.34229   0.0179699
     1.06446     2.54965  0.00956318
     1.09011     2.56098   0.0121949
     1.11576     2.37346   0.0201404
     1.14141     2.16017   0.0176747
     1.16706     1.93612   0.0105697
     1.19271     1.75391  0.00876434
     1.21836     1.54414   0.0152412
     1.24401     1.37231   0.0114745
     1.26966     1.25131   0.0139468
     1.29531      1.1204   0.0107935
     1.32096     1.02603  0.00817175
     1.34661    0.944436  0.00781395
     1.37226    0.877674  0.00331207
     1.39791    0.807206  0.00422871
     1.42355    0.773738  0.00740871
      1.4492    0.738491    0.012371
     1.47485    0.721534  0.00881241
      1.5005    0.692371  0.00718001
     1.52615    0.672829  0.00670788
      1.5518    0.668992   0.0059525
     1.57745    0.682073  0.00414481
      1.6031    0.682266   0.0056997
     1.62875    0.689101  0.00566373
      1.6544     0.70162  0.00819381
     1.68005     0.73089  0.00687521
      1.7057    0.763488  0.00553486
     1.73135    0.774698  0.00606872
       1.757    0.812824  0.00713699
     1.78265    0.850335  0.00880512
      1.8083    0.880009  0.00666541
     1.83395    0.933773  0.00657946
      1.8596    0.986433  0.00705668
     1.88525     1.03392  0.00823573
      1.9109     1.06359  0.00824063
     1.93655      1.1019  0.00729878
      1.9622     1.13348  0.00756523
     1.98785     1.16072  0.00420695
      2.0135     1.18084  0.00410799
     2.03915     1.20526   0.0132011
      2.0648     1.21699     0.01039
     2.09045     1.21612  0.00919046
      2.1161     1.20442  0.00835485
     2.14174     1.18967  0.00668232
     2.16739     1.17731   0.0111649
     2.19304     1.14352   0.0100869
     2.21869     1.12562  0.00809175
     2.24434     1.08466  0.00582863
     2.26999     1.06045  0.00376438
     2.29564     1.03873  0.00371015
     2.32129     1.01819  0.00354135
     2.34694    0.986097  0.00706975
     2.37259    0.968287  0.00473584
     2.39824    0.943129  0.00527199
     2.42389    0.920352  0.00635636
     2.44954    0.910297  0.00799984
     2.47519    0.897446  0.00640945
     2.50084    0.893081  0.00583942
     2.52649    0.888766  0.00434845
     2.55214    0.890586  0.00377745
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00107754 0.000337434
    0.910562   0.0249929  0.00184148
    0.936212    0.176009  0.00418386
    0.961861     0.59638  0.00425452
    0.987511     1.23108   0.0105189
     1.01316     1.88245   0.0103409
     1.03881     2.34412   0.0158162
     1.06446     2.55222  0.00870633
     1.09011     2.54633   0.0173637
     1.11576     2.36628   0.0188611
     1.14141     2.17692   0.0220157
     1.16706     1.93614  0.00924848
     1.19271     1.75454  0.00769122
     1.21836     1.54821   0.0138707
     1.24401     1.36907   0.0104875
     1.26966     1.24789   0.0126162
     1.29531     1.11876  0.00956787
     1.32096     1.02305  0.00767535
     1.34661    0.950124  0.00866373
     1.37226    0.877627   0.0028984
     1.39791    0.805794  0.00392866
     1.42355    0.774505  0.00652223
      1.4492    0.742235   0.0113774
     1.47485    0.722545  0.00776864
      1.5005     0.69013  0.00662284
     1.52615    0.672948  0.00587046
      1.5518    0.666912  0.00556011
     1.57745    0.680414  0.00394495
      1.6031    0.683212  0.00506511
     1.62875    0.688134   0.0050376
      1.6544    0.701727  0.00717028
     1.68005    0.728995  0.00627155
      1.7057    0.761849  0.00507996
     1.73135     0.77961  0.00702179
       1.757    0.814989  0.00656502
     1.78265    0.850609  0.00770875
      1.8083    0.880046  0.00583233
     1.83395     0.93547  0.00597175
      1.8596    0.985962  0.00619028
     1.88525      1.0308  0.00777495
      1.9109     1.06502  0.00733365
     1.93655     1.10225  0.00639505
      1.9622     1.13514  0.00679938
     1.98785     1.15957  0.00383534
      2.0135     1.18136  0.00362798
     2.03915     1.20543   0.0115521
      2.0648     1.21532  0.00922348
     2.09045     1.21612  0.00804165
      2.1161     1.20352   0.0073591
     2.14174     1.18692  0.00638731
     2.16739      1.1751  0.00998507
     2.19304      1.1438  0.00882999
     2.21869     1.12573  0.00708109
     2.24434     1.08584  0.00521948
     2.26999      1.0651  0.00545917
     2.29564     1.03885  0.00324843
     2.32129     1.01583  0.00380405
     2.34694    0.985524  0.00620922
     2.37259    0.968514  0.00414928
     2.39824    0.944369  0.00475665
     2.42389     0.92392  0.00648641
     2.44954    0.913284  0.00753682
     2.47519    0.897243   0.0056115
     2.50084    0.892242  0.00516945
     2.52649    0.889381  0.00384813
     2.55214    0.891439  0.00340026
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00100876 0.000306871
    0.910562   0.0260317  0.00190747
    0.936212    0.177559  0.00399576
    0.961861    0.597576  0.00394635
    0.987511     1.23013  0.00939244
     1.01316     1.88728   0.0102575
     1.03881     2.34284   0.0141107
     1.06446     2.54867  0.00843043
     1.09011      2.5435   0.0156647
     1.11576     2.37176   0.0175454
     1.14141     2.16982   0.0206819
     1.16706     1.93347  0.00859642
     1.19271     1.75048  0.00783447
     1.21836     1.54852   0.0123329
     1.24401     1.36711  0.00950275
     1.26966     1.24814   0.0112168
     1.29531     1.11719  0.00863368
     1.32096     1.02298   0.0068229
     1.34661    0.948309  0.00788901
     1.37226    0.874946  0.00360922
     1.39791    0.806336  0.00352927
     1.42355    0.777618  0.00649805
      1.4492    0.746577   0.0109101
     1.47485    0.723766  0.00700077
      1.5005     0.69226  0.00621985
     1.52615     0.67584  0.00588746
      1.5518    0.668208  0.00509117
     1.57745     0.67572  0.00564568
      1.6031    0.681849  0.00468219
     1.62875    0.689784  0.00474034
      1.6544     0.70388  0.00668907
     1.68005    0.729812  0.00562772
      1.7057     0.76039  0.00472032
     1.73135    0.781874  0.00659654
       1.757    0.816226  0.00595091
     1.78265    0.850819  0.00685507
      1.8083    0.877879  0.00557217
     1.83395    0.935369  0.00530907
      1.8596    0.989118  0.00625555
     1.88525     1.03305  0.00723013
      1.9109     1.06205  0.00709334
     1.93655      1.0984  0.00674497
      1.9622     1.13628  0.00613876
     1.98785     1.16176  0.00398828
      2.0135     1.17785  0.00462326
     2.03915     1.20214   0.0107289
      2.0648     1.21641  0.00826297
     2.09045     1.21532  0.00718815
      2.1161     1.20334  0.00654373
     2.14174     1.18504  0.00594719
     2.16739     1.17347  0.00900894
     2.19304      1.1446  0.00788525
     2.21869     1.12637  0.00632271
     2.24434     1.08694  0.00475365
     2.26999      1.0657   0.0048853
     2.29564     1.03864  0.00289447
     2.32129     1.01837  0.00414539
     2.34694    0.985421  0.00552016
     2.37259    0.966624    0.004096
     2.39824    0.944203  0.00423103
     2.42389    0.923942  0.00576573
     2.44954    0.912749  0.00671835
     2.47519    0.899775  0.00552977
     2.50084    0.894979  0.00527016
     2.52649    0.890262  0.00352007
     2.55214    0.890709  0.00309994
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 0.000990416 0.000276731
    0.910562   0.0257627  0.00173558
    0.936212    0.177537  0.00359624
    0.961861    0.591267   0.0069592
    0.987511     1.23116  0.00850875
     1.01316     1.89455   0.0115255
     1.03881     2.34864     0.01384
     1.06446     2.54168    0.010076
     1.09011      2.5391   0.0147027
     1.11576     2.37399   0.0159315
     1.14141     2.17473   0.0191879
     1.16706     1.93101  0.00808165
     1.19271     1.75106  0.00707246
     1.21836     1.54688   0.0112074
     1.24401     1.36492  0.00880238
     1.26966     1.24896   0.0101253
     1.29531     1.12162  0.00883373
     1.32096     1.02108  0.00639897
     1.34661     0.94571  0.00751599
     1.37226    0.875137  0.00325336
     1.39791     0.80706  0.00324967
     1.42355    0.776894  0.00588843
      1.4492    0.746446  0.00981984
     1.47485    0.724923  0.00639556
      1.5005    0.697523  0.00750107
     1.52615    0.682033  0.00791215
      1.5518    0.669882  0.00484937
     1.57745     0.67591  0.00508429
      1.6031    0.682169  0.00422493
     1.62875    0.689286  0.00429238
      1.6544    0.700743  0.00671549
     1.68005    0.727455  0.00553669
      1.7057    0.756865  0.00540615
     1.73135    0.783067  0.00604384
       1.757    0.815943  0.00536255
     1.78265    0.848408  0.00657988
      1.8083    0.877498  0.00502799
