# Generation                                                Route                                                 L(1)
     131       1 14 20 22 30 3 18 25 9 21 7 24 11 34 32 8 33 10 12 2 31 16 29 4 5 6 15 23 13 27 19 28 17 26      12.2335
     132       1 14 20 22 30 19 3 18 25 9 21 7 24 11 34 32 8 33 10 12 2 31 16 29 4 5 6 15 23 13 27 28 17 26      11.9525
     133       1 14 20 22 30 19 3 18 25 9 21 7 24 11 34 32 8 33 10 12 2 31 16 29 4 5 6 15 23 13 27 28 17 26      11.9525
     134       1 14 20 22 30 19 3 18 25 9 21 7 24 11 34 32 8 33 10 12 2 31 16 29 4 5 6 15 23 13 27 28 17 26      11.9525
     135       1 14 20 22 30 19 3 18 25 9 21 7 24 11 34 32 8 33 10 12 2 31 16 29 4 5 6 15 23 13 27 28 17 26      11.9525
     136       1 14 20 22 30 19 3 18 25 9 21 7 24 11 34 32 8 33 10 12 2 31 16 29 4 5 6 15 23 13 27 28 17 26      11.9525
     137       1 14 20 22 30 19 3 18 25 9 21 7 24 11 34 32 8 33 10 12 2 31 16 29 4 5 6 15 23 13 27 28 17 26      11.9525
     138       1 14 20 22 30 19 3 18 25 9 21 7 24 11 34 32 8 33 10 12 2 31 16 29 4 5 6 15 23 13 27 28 17 26      11.9525
     139       1 14 20 22 30 19 3 18 25 9 21 7 24 11 34 32 8 33 10 12 2 31 16 29 4 5 6 15 23 13 27 28 17 26      11.9525
     140       1 14 20 22 30 19 3 18 25 9 21 7 24 11 34 32 8 33 10 12 2 31 16 29 4 5 6 15 23 13 27 28 17 26      11.9525
     141       1 14 20 22 30 19 3 18 25 9 21 7 24 11 34 32 8 33 10 12 2 31 16 29 4 5 6 15 23 13 27 28 17 26      11.9525
     142       1 14 20 22 30 19 3 18 25 9 21 7 24 11 34 32 8 33 10 12 2 31 16 29 4 5 6 15 23 13 27 28 17 26      11.9525
     143       1 14 20 22 30 19 3 18 25 9 21 7 24 11 34 32 8 33 10 12 2 31 16 29 4 5 6 15 23 13 27 28 17 26      11.9525
     144       1 14 20 22 30 19 3 18 25 9 21 7 24 11 34 32 8 33 10 12 2 31 16 29 4 5 6 15 23 13 27 28 17 26      11.9525
     145       1 14 20 22 30 19 3 18 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 25 28 17 26      11.8141
     146       1 14 20 22 30 19 3 18 25 27 13 23 15 6 5 4 29 16 31 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      11.6496
     147       1 14 20 22 30 19 3 18 27 13 23 15 6 5 4 29 16 31 2 25 12 10 33 8 32 34 11 24 7 21 9 28 17 26       10.927
     148       1 14 20 22 30 19 3 18 27 13 23 15 6 5 4 29 16 25 31 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.7695
     149       1 14 20 22 30 19 3 18 27 13 23 15 6 5 4 29 16 25 31 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.7695
     150       1 14 20 22 30 19 3 18 27 13 23 15 6 5 4 29 16 25 31 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.7695
     151       1 14 20 22 30 19 3 18 27 13 23 15 6 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.4192
     152       1 14 20 22 30 19 3 18 27 13 23 15 6 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.4192
     153       1 14 20 22 30 19 3 18 27 13 23 15 6 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.4192
     154       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     155       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     156       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     157       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     158       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     159       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     160       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     161       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     162       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     163       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     164       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     165       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     166       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     167       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     168       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     169       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     170       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     171       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     172       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     173       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     174       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     175       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     176       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     177       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     178       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     179       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     180       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     181       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
     182       1 14 20 22 30 19 3 6 15 23 13 27 18 5 4 29 16 31 25 2 12 10 33 8 32 34 11 24 7 21 9 28 17 26      10.3093
