# Generation                                                Route                                                 L(1)
     115       1 15 2 24 23 17 29 30 4 11 31 5 27 25 18 33 28 6 16 34 20 32 9 7 3 22 26 13 12 10 19 14 21 8       8.2477
     116       1 15 2 24 23 17 29 30 4 11 31 5 27 25 18 33 28 6 16 34 20 32 9 7 3 22 26 13 12 10 19 14 21 8       8.2477
     117       1 15 2 24 23 17 29 30 4 11 31 5 27 25 18 33 28 6 16 34 20 32 9 7 3 22 26 13 12 10 19 14 21 8       8.2477
     118       1 15 2 24 23 17 29 30 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.86389
     119       1 15 2 24 23 17 29 30 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.86389
     120       1 15 2 24 23 17 29 30 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.86389
     121       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     122       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     123       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     124       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     125       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     126       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     127       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     128       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     129       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     130       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     131       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     132       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     133       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     134       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     135       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     136       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     137       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     138       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     139       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     140       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     141       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     142       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     143       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     144       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     145       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 32 28 6 16 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36923
     146       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 6 16 32 28 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36786
     147       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 6 16 32 28 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36786
     148       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 6 16 32 28 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36786
     149       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 6 16 32 28 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36786
     150       1 15 2 24 23 30 29 17 4 11 31 5 27 25 18 6 16 32 28 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      7.36786
     151       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     152       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     153       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     154       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     155       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     156       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     157       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     158       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     159       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     160       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     161       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     162       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
     163       1 15 2 24 23 30 29 17 4 11 31 5 27 25 28 18 6 16 32 34 20 33 9 7 3 22 26 13 12 10 19 14 21 8      6.29889
