#          T          mu       sigma           H       Error
    0.013357    0.777525    0.638435   -0.441844  0.00694537
   0.0130899    0.775343    0.621268   -0.442812  0.00341014
   0.0128281    0.773528    0.644064   -0.435899   0.0056903
   0.0125715    0.813834    0.645233   -0.444419  0.00639683
   0.0123201    0.764784    0.594278    -0.43619  0.00519108
   0.0120737    0.792797    0.568175    -0.42947  0.00659922
   0.0118322    0.739197    0.573286   -0.419256  0.00705014
   0.0115956    0.741233    0.611302   -0.436975  0.00352923
   0.0113637    0.811201    0.606414   -0.435925   0.0106586
   0.0111364     0.87121    0.616669     -0.4257  0.00628098
   0.0109137    0.849485     0.62106   -0.442931  0.00600785
   0.0106954     0.82879     0.62193   -0.444613  0.00494053
   0.0104815    0.861227    0.624462   -0.430291  0.00633389
   0.0102718    0.896144    0.627224    -0.41318  0.00659801
   0.0100664    0.878162    0.612688   -0.429703  0.00710867
