#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         267     1.67454     1.64641  0.00154735
         268     1.67524     1.64652  0.00154531
         269     1.67593     1.64663  0.00154342
         270     1.67662     1.64674   0.0015417
         271     1.67732     1.64685  0.00154014
         272     1.67801     1.64697  0.00153873
         273     1.67871     1.64708  0.00153748
         274      1.6794      1.6472  0.00153639
         275      1.6801     1.64732  0.00153545
         276      1.6808     1.64744  0.00153467
         277      1.6815     1.64756  0.00153405
         278     1.68219     1.64769  0.00153358
         279     1.68289     1.64781  0.00153326
         280     1.68358     1.64794   0.0015331
         281     1.68427     1.64807  0.00153308
         282     1.68495      1.6482  0.00153322
         283     1.68563     1.64833  0.00153349
         284      1.6863     1.64847  0.00153391
         285     1.68695      1.6486  0.00153446
         286     1.68759     1.64874  0.00153514
         287     1.68822     1.64888  0.00153594
         288     1.68883     1.64902  0.00153686
         289     1.68941     1.64916  0.00153788
         290     1.68998      1.6493  0.00153901
         291     1.69052     1.64944  0.00154022
         292     1.69103     1.64958  0.00154152
         293     1.69151     1.64972  0.00154289
         294     1.69195     1.64987  0.00154431
         295     1.69237     1.65001  0.00154578
         296     1.69274     1.65016  0.00154728
         297     1.69308      1.6503  0.00154881
         298     1.69338     1.65044  0.00155034
         299     1.69363     1.65059  0.00155187
         300     1.69385     1.65073  0.00155338
         301     1.69401     1.65088  0.00155486
         302     1.69414     1.65102   0.0015563
         303     1.69421     1.65116  0.00155768
         304     1.69424      1.6513  0.00155899
         305     1.69423     1.65145  0.00156021
         306     1.69417     1.65158  0.00156135
         307     1.69406     1.65172  0.00156238
         308     1.69392     1.65186  0.00156331
         309     1.69373       1.652  0.00156411
         310      1.6935     1.65213  0.00156478
         311     1.69324     1.65226  0.00156533
         312     1.69294     1.65239  0.00156573
         313     1.69261     1.65252  0.00156599
         314     1.69226     1.65265  0.00156611
         315     1.69188     1.65277  0.00156608
         316     1.69149     1.65289  0.00156591
         317     1.69108     1.65301   0.0015656
         318     1.69067     1.65313  0.00156515
         319     1.69025     1.65325  0.00156456
         320     1.68983     1.65336  0.00156384
         321     1.68942     1.65348    0.001563
         322     1.68903     1.65359  0.00156204
         323     1.68865     1.65369  0.00156097
         324      1.6883      1.6538   0.0015598
         325     1.68797     1.65391  0.00155854
         326     1.68768     1.65401   0.0015572
         327     1.68742     1.65411  0.00155579
         328      1.6872     1.65421  0.00155431
         329     1.68703     1.65431  0.00155278
         330      1.6869     1.65441  0.00155121
         331     1.68681     1.65451  0.00154961
         332     1.68678     1.65461  0.00154799
         333     1.68679      1.6547  0.00154635
         334     1.68684      1.6548  0.00154471
         335     1.68695      1.6549  0.00154308
         336     1.68709     1.65499  0.00154146
         337     1.68728     1.65509  0.00153986
         338      1.6875     1.65518  0.00153829
         339     1.68776     1.65528  0.00153675
         340     1.68805     1.65538  0.00153525
         341     1.68836     1.65547  0.00153379
         342      1.6887     1.65557  0.00153238
         343     1.68905     1.65567  0.00153102
         344     1.68941     1.65577  0.00152971
         345     1.68978     1.65586  0.00152845
         346     1.69015     1.65596  0.00152724
         347     1.69052     1.65606  0.00152608
         348     1.69088     1.65616  0.00152497
         349     1.69123     1.65626  0.00152391
         350     1.69157     1.65636  0.00152289
         351     1.69189     1.65647  0.00152191
         352     1.69219     1.65657  0.00152097
         353     1.69247     1.65667  0.00152006
         354     1.69273     1.65677  0.00151917
         355     1.69295     1.65687  0.00151831
         356     1.69315     1.65697  0.00151746
         357     1.69333     1.65708  0.00151662
         358     1.69347     1.65718  0.00151579
         359     1.69358     1.65728  0.00151496
         360     1.69367     1.65738  0.00151412
         361     1.69373     1.65748  0.00151327
         362     1.69376     1.65758   0.0015124
         363     1.69376     1.65768  0.00151152
         364     1.69374     1.65778  0.00151061
         365      1.6937     1.65788  0.00150967
         366     1.69363     1.65798   0.0015087
         367     1.69354     1.65807   0.0015077
         368     1.69344     1.65817  0.00150666
         369     1.69331     1.65826  0.00150559
         370     1.69317     1.65836  0.00150447
         371     1.69302     1.65845  0.00150332
         372     1.69286     1.65854  0.00150212
         373     1.69268     1.65864  0.00150088
         374      1.6925     1.65873  0.00149959
         375     1.69231     1.65882  0.00149826
         376     1.69211      1.6589  0.00149689
         377     1.69191     1.65899  0.00149548
         378      1.6917     1.65908  0.00149402
         379      1.6915     1.65916  0.00149253
         380     1.69129     1.65925  0.00149099
         381     1.69108     1.65933  0.00148942
         382     1.69087     1.65941  0.00148781
         383     1.69066      1.6595  0.00148616
         384     1.69046     1.65958  0.00148447
         385     1.69025     1.65966  0.00148275
         386     1.69005     1.65974    0.001481
         387     1.68985     1.65981  0.00147922
         388     1.68965     1.65989   0.0014774
         389     1.68946     1.65997  0.00147556
         390     1.68926     1.66004  0.00147368
         391     1.68907     1.66012  0.00147178
         392     1.68888     1.66019  0.00146986
