#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         365   -0.944918   -0.891365  0.00226782
         366   -0.944786   -0.891511  0.00226631
         367   -0.944631   -0.891656  0.00226476
         368   -0.944443   -0.891799  0.00226314
         369   -0.944238   -0.891941  0.00226146
         370   -0.944011   -0.892082  0.00225973
         371   -0.943765   -0.892221  0.00225793
         372   -0.943502   -0.892359  0.00225606
         373   -0.943228   -0.892495  0.00225413
         374   -0.942943    -0.89263  0.00225214
         375   -0.942647   -0.892764  0.00225008
         376   -0.942342   -0.892896  0.00224795
         377   -0.942033   -0.893026  0.00224576
         378   -0.941725   -0.893155  0.00224352
         379   -0.941422   -0.893282  0.00224121
         380   -0.941109   -0.893408  0.00223884
         381   -0.940804   -0.893532  0.00223642
         382   -0.940496   -0.893655  0.00223394
         383   -0.940194   -0.893777  0.00223141
         384   -0.939885   -0.893897  0.00222883
         385   -0.939577   -0.894016  0.00222619
         386   -0.939279   -0.894133  0.00222351
         387   -0.938986   -0.894249  0.00222079
         388   -0.938695   -0.894363  0.00221801
         389   -0.938402   -0.894477   0.0022152
         390   -0.938115   -0.894588  0.00221234
         391   -0.937837   -0.894699  0.00220945
         392   -0.937558   -0.894808  0.00220652
         393   -0.937287   -0.894916  0.00220355
         394   -0.937012   -0.895023  0.00220054
         395   -0.936747   -0.895129  0.00219751
         396   -0.936477   -0.895233  0.00219444
         397   -0.936213   -0.895337  0.00219134
         398   -0.935951   -0.895439   0.0021882
         399   -0.935694   -0.895539  0.00218504
         400   -0.935439   -0.895639  0.00218186
         401   -0.935187   -0.895738  0.00217864
         402   -0.934942   -0.895835  0.00217541
         403   -0.934706   -0.895932  0.00217215
         404   -0.934474   -0.896027  0.00216886
         405   -0.934249   -0.896122  0.00216556
         406   -0.934027   -0.896215  0.00216224
         407   -0.933818   -0.896307   0.0021589
         408   -0.933616   -0.896399  0.00215554
         409   -0.933429   -0.896489  0.00215217
         410    -0.93325   -0.896579  0.00214879
         411   -0.933083   -0.896668   0.0021454
         412   -0.932927   -0.896756  0.00214199
         413    -0.93278   -0.896843  0.00213858
         414   -0.932649    -0.89693  0.00213517
         415   -0.932524   -0.897015  0.00213174
         416   -0.932414     -0.8971  0.00212832
         417   -0.932315   -0.897185  0.00212489
         418   -0.932225   -0.897269  0.00212146
         419   -0.932144   -0.897352  0.00211802
         420   -0.932068   -0.897435  0.00211459
         421   -0.932009   -0.897517  0.00211117
         422    -0.93195   -0.897598  0.00210774
         423   -0.931895   -0.897679  0.00210432
         424   -0.931852    -0.89776  0.00210089
         425   -0.931807    -0.89784  0.00209748
         426   -0.931776    -0.89792  0.00209407
         427   -0.931747   -0.897999  0.00209066
         428   -0.931723   -0.898078  0.00208726
         429   -0.931709   -0.898156  0.00208387
         430   -0.931696   -0.898234  0.00208048
         431   -0.931693   -0.898312   0.0020771
         432   -0.931701   -0.898389  0.00207373
         433   -0.931723   -0.898466  0.00207037
         434   -0.931756   -0.898543  0.00206702
         435   -0.931806   -0.898619  0.00206368
         436   -0.931875   -0.898695  0.00206036
         437   -0.931967   -0.898772  0.00205705
         438   -0.932084   -0.898848  0.00205376
         439   -0.932233   -0.898924  0.00205049
         440   -0.932414      -0.899  0.00204724
         441   -0.932637   -0.899076  0.00204402
         442   -0.932894   -0.899153  0.00204082
         443   -0.933196   -0.899229  0.00203766
         444    -0.93354   -0.899307  0.00203454
         445   -0.933932   -0.899385  0.00203145
         446   -0.934376   -0.899463  0.00202841
         447   -0.934873   -0.899542  0.00202542
         448   -0.935423   -0.899622  0.00202248
         449   -0.936029   -0.899703   0.0020196
         450   -0.936695   -0.899786  0.00201679
         451    -0.93741   -0.899869  0.00201404
         452   -0.938182   -0.899954  0.00201137
         453   -0.939008    -0.90004  0.00200878
         454   -0.939878   -0.900128  0.00200627
         455   -0.940795   -0.900217  0.00200385
         456   -0.941745   -0.900308  0.00200152
         457   -0.942735   -0.900401  0.00199929
         458   -0.943742   -0.900496  0.00199717
         459   -0.944776   -0.900592  0.00199514
         460   -0.945826    -0.90069  0.00199323
         461   -0.946879   -0.900791  0.00199142
         462    -0.94793   -0.900893  0.00198972
         463   -0.948972   -0.900997  0.00198813
         464   -0.949998   -0.901102  0.00198665
         465   -0.950997   -0.901209  0.00198527
         466   -0.951967   -0.901318    0.001984
         467   -0.952886   -0.901429  0.00198282
         468   -0.953755   -0.901541  0.00198174
         469   -0.954564   -0.901654  0.00198073
         470   -0.955308   -0.901768   0.0019798
         471   -0.955977   -0.901883  0.00197894
         472   -0.956567   -0.901999  0.00197814
         473   -0.957067   -0.902115  0.00197738
         474   -0.957477   -0.902232  0.00197666
         475   -0.957791   -0.902349  0.00197595
         476   -0.958002   -0.902466  0.00197526
         477   -0.958113   -0.902583  0.00197456
         478   -0.958112   -0.902699  0.00197384
         479   -0.958003   -0.902814  0.00197309
         480   -0.957785   -0.902929   0.0019723
         481    -0.95746   -0.903042  0.00197146
         482   -0.957017   -0.903154  0.00197055
         483    -0.95647   -0.903264  0.00196956
         484   -0.955825   -0.903373  0.00196848
         485   -0.955085    -0.90348  0.00196731
         486   -0.954251   -0.903584  0.00196603
         487   -0.953332   -0.903686  0.00196464
         488   -0.952336   -0.903786  0.00196315
         489   -0.951263   -0.903883  0.00196153
         490   -0.950135   -0.903977   0.0019598
         491   -0.948954   -0.904069  0.00195795
         492   -0.947729   -0.904158  0.00195598
         493   -0.946482   -0.904244  0.00195389
         494   -0.945226   -0.904327   0.0019517
         495   -0.943967   -0.904407   0.0019494
         496   -0.942713   -0.904484    0.001947
         497   -0.941483   -0.904558   0.0019445
         498   -0.940291    -0.90463  0.00194192
         499   -0.939151   -0.904699  0.00193926
         500   -0.938072   -0.904766  0.00193653
         501   -0.937071   -0.904831  0.00193374
         502   -0.936153   -0.904893  0.00193089
         503   -0.935327   -0.904953    0.001928
         504   -0.934605   -0.905012  0.00192507
         505   -0.933994    -0.90507  0.00192212
         506   -0.933506   -0.905126  0.00191914
         507   -0.933139   -0.905181  0.00191615
         508   -0.932896   -0.905236  0.00191315
         509   -0.932779    -0.90529  0.00191016
         510    -0.93279   -0.905344  0.00190718
         511   -0.932929   -0.905398  0.00190421
         512   -0.933201   -0.905452  0.00190126
         513   -0.933588   -0.905507  0.00189835
         514   -0.934099   -0.905562  0.00189547
         515   -0.934724   -0.905619  0.00189263
         516   -0.935449   -0.905677  0.00188985
         517   -0.936277   -0.905736  0.00188712
         518   -0.937199   -0.905797  0.00188445
         519    -0.93821   -0.905859  0.00188186
         520   -0.939299   -0.905924  0.00187934
         521   -0.940459    -0.90599   0.0018769
         522   -0.941681   -0.906058  0.00187455
         523   -0.942954   -0.906129  0.00187229
         524   -0.944273   -0.906202  0.00187013
         525   -0.945635   -0.906277  0.00186808
         526   -0.947036   -0.906354  0.00186613
         527   -0.948456   -0.906434   0.0018643
         528   -0.949898   -0.906516  0.00186259
         529    -0.95135   -0.906601  0.00186099
         530    -0.95282   -0.906688  0.00185952
         531   -0.954291   -0.906778  0.00185818
         532   -0.955751    -0.90687  0.00185697
         533   -0.957205   -0.906964  0.00185588
         534   -0.958654   -0.907061  0.00185493
         535   -0.960085    -0.90716  0.00185411
         536   -0.961511   -0.907262  0.00185342
         537   -0.962914   -0.907365  0.00185286
         538   -0.964301   -0.907471  0.00185244
         539   -0.965665   -0.907579  0.00185215
