#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         527     2.05993     2.09249  0.00463416
         528     2.05586     2.09242   0.0046259
         529     2.05148     2.09234   0.0046178
         530     2.04678     2.09225  0.00460989
         531     2.04175     2.09216  0.00460219
         532     2.03641     2.09205  0.00459473
         533     2.03075     2.09194  0.00458755
         534     2.02479     2.09181  0.00458068
         535     2.01854     2.09167  0.00457417
         536     2.01201     2.09153  0.00456805
         537     2.00524     2.09137  0.00456237
         538     1.99825     2.09119  0.00455717
         539     1.99107     2.09101   0.0045525
         540     1.98375     2.09081   0.0045484
         541     1.97631      2.0906  0.00454491
         542     1.96881     2.09037  0.00454208
         543      1.9613     2.09013  0.00453993
         544     1.95383     2.08988  0.00453849
         545     1.94646     2.08962  0.00453779
         546     1.93924     2.08934  0.00453783
         547     1.93223     2.08906  0.00453861
         548     1.92547     2.08876  0.00454014
         549     1.91903     2.08845  0.00454238
         550     1.91295     2.08813  0.00454531
         551     1.90726      2.0878   0.0045489
         552     1.90201     2.08747   0.0045531
         553     1.89722     2.08712  0.00455784
         554     1.89292     2.08677  0.00456307
         555     1.88909     2.08642  0.00456873
         556     1.88576     2.08605  0.00457475
         557     1.88291     2.08569  0.00458105
         558     1.88052     2.08532  0.00458757
         559     1.87855     2.08495  0.00459425
         560     1.87699     2.08458  0.00460103
         561     1.87577     2.08421  0.00460786
         562     1.87485     2.08384   0.0046147
         563     1.87418     2.08346   0.0046215
         564     1.87369     2.08309  0.00462825
         565     1.87333     2.08272  0.00463492
         566     1.87304     2.08235  0.00464152
         567     1.87276     2.08198  0.00464803
         568     1.87244     2.08161  0.00465446
         569     1.87203     2.08124  0.00466083
         570      1.8715     2.08088  0.00466716
         571     1.87081     2.08051  0.00467346
         572     1.86994     2.08014  0.00467977
         573     1.86888     2.07977   0.0046861
         574     1.86763      2.0794  0.00469249
         575     1.86619     2.07903  0.00469896
         576     1.86459     2.07866  0.00470552
         577     1.86285     2.07828  0.00471221
         578     1.86101     2.07791  0.00471902
         579     1.85909     2.07753  0.00472598
         580     1.85716     2.07715  0.00473308
         581     1.85525     2.07677  0.00474032
         582     1.85343     2.07638  0.00474768
         583     1.85174       2.076  0.00475515
         584     1.85023     2.07561   0.0047627
         585     1.84895     2.07522  0.00477029
         586     1.84795     2.07484  0.00477789
         587     1.84727     2.07445  0.00478545
         588     1.84693     2.07406  0.00479293
         589     1.84697     2.07368  0.00480028
         590     1.84742     2.07329  0.00480743
         591     1.84827     2.07291  0.00481435
         592     1.84955     2.07254  0.00482098
         593     1.85124     2.07216  0.00482728
         594     1.85334     2.07179  0.00483319
         595     1.85585     2.07143  0.00483867
         596     1.85873     2.07107  0.00484369
         597     1.86196     2.07072  0.00484823
         598     1.86552     2.07038  0.00485225
         599     1.86936     2.07004  0.00485574
         600     1.87345     2.06972  0.00485869
         601     1.87775      2.0694  0.00486109
         602     1.88222     2.06909  0.00486295
         603     1.88681     2.06878  0.00486427
         604     1.89148     2.06849  0.00486507
         605      1.8962     2.06821  0.00486536
         606     1.90091     2.06793  0.00486515
         607     1.90558     2.06766  0.00486448
         608     1.91019      2.0674  0.00486337
         609     1.91469     2.06715  0.00486185
         610     1.91907     2.06691  0.00485993
         611     1.92329     2.06668  0.00485766
         612     1.92735     2.06645  0.00485506
         613     1.93122     2.06623  0.00485214
         614     1.93489     2.06601  0.00484895
         615     1.93836     2.06581  0.00484551
         616     1.94161      2.0656  0.00484184
         617     1.94465     2.06541  0.00483796
         618     1.94748     2.06522  0.00483389
         619     1.95009     2.06503  0.00482966
         620     1.95249     2.06485  0.00482528
         621     1.95469     2.06467  0.00482077
         622     1.95669      2.0645  0.00481614
         623     1.95849     2.06433  0.00481142
         624     1.96011     2.06416   0.0048066
         625     1.96155       2.064  0.00480172
         626     1.96282     2.06384  0.00479676
         627     1.96394     2.06368  0.00479176
         628     1.96491     2.06352  0.00478671
         629     1.96573     2.06336  0.00478162
         630     1.96643     2.06321  0.00477651
         631       1.967     2.06306  0.00477137
         632     1.96746     2.06291  0.00476622
         633     1.96782     2.06276  0.00476106
         634     1.96809     2.06261  0.00475589
         635     1.96826     2.06246  0.00475072
