#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         426    -1.51752    -1.56599  0.00828027
         427    -1.50951    -1.56585  0.00826193
         428    -1.50166     -1.5657  0.00824399
         429    -1.49402    -1.56554  0.00822646
         430    -1.48661    -1.56535  0.00820938
         431    -1.47946    -1.56515  0.00819275
         432    -1.47259    -1.56494  0.00817659
         433    -1.46604    -1.56471  0.00816089
         434     -1.4598    -1.56447  0.00814567
         435     -1.4539    -1.56422  0.00813091
         436    -1.44836    -1.56395   0.0081166
         437    -1.44317    -1.56367  0.00810273
         438    -1.43834    -1.56339  0.00808928
         439    -1.43388    -1.56309  0.00807623
         440    -1.42978    -1.56279  0.00806356
         441    -1.42604    -1.56248  0.00805124
         442    -1.42265    -1.56216  0.00803923
         443    -1.41961    -1.56184  0.00802753
         444    -1.41689    -1.56152  0.00801608
         445    -1.41449    -1.56118  0.00800487
         446    -1.41241    -1.56085  0.00799387
         447    -1.41063    -1.56052  0.00798305
         448    -1.40913    -1.56018  0.00797238
         449     -1.4079    -1.55984  0.00796183
         450    -1.40692     -1.5595  0.00795139
         451    -1.40619    -1.55916  0.00794102
         452     -1.4057    -1.55882  0.00793071
         453    -1.40542    -1.55848  0.00792042
         454    -1.40535    -1.55814  0.00791016
         455    -1.40549    -1.55781  0.00789988
         456    -1.40582    -1.55747  0.00788959
         457    -1.40634    -1.55714  0.00787925
         458    -1.40703    -1.55682  0.00786886
         459     -1.4079    -1.55649   0.0078584
         460    -1.40892    -1.55617  0.00784787
         461    -1.41011    -1.55585  0.00783724
         462    -1.41146    -1.55554   0.0078265
         463    -1.41298    -1.55523  0.00781565
         464    -1.41465    -1.55493  0.00780468
         465    -1.41648    -1.55463  0.00779357
         466    -1.41846    -1.55434  0.00778232
         467    -1.42061    -1.55405  0.00777092
         468    -1.42291    -1.55377  0.00775937
         469    -1.42536     -1.5535  0.00774766
         470    -1.42798    -1.55323  0.00773577
         471    -1.43076    -1.55297  0.00772372
         472    -1.43369    -1.55272  0.00771149
         473    -1.43677    -1.55248  0.00769908
         474       -1.44    -1.55224  0.00768649
         475    -1.44338    -1.55201  0.00767373
         476    -1.44688    -1.55179  0.00766078
         477     -1.4505    -1.55158  0.00764766
         478    -1.45424    -1.55137  0.00763437
         479    -1.45807    -1.55118  0.00762092
         480    -1.46198    -1.55099  0.00760731
         481    -1.46596    -1.55081  0.00759355
         482    -1.46997    -1.55065  0.00757965
         483    -1.47401    -1.55049  0.00756561
         484    -1.47807    -1.55034  0.00755146
         485    -1.48211     -1.5502   0.0075372
         486    -1.48613    -1.55007  0.00752285
         487     -1.4901    -1.54994  0.00750841
         488      -1.494    -1.54983   0.0074939
         489    -1.49782    -1.54972  0.00747932
         490    -1.50154    -1.54962  0.00746471
         491    -1.50516    -1.54953  0.00745005
         492    -1.50865    -1.54945  0.00743537
         493    -1.51201    -1.54937  0.00742068
         494    -1.51522     -1.5493  0.00740598
         495    -1.51828    -1.54924  0.00739128
         496    -1.52118    -1.54919   0.0073766
         497    -1.52389    -1.54913  0.00736193
         498    -1.52644    -1.54909  0.00734729
         499     -1.5288    -1.54905  0.00733268
         500    -1.53097    -1.54901   0.0073181
         501    -1.53296    -1.54898  0.00730357
         502    -1.53474    -1.54895  0.00728907
         503    -1.53632    -1.54893  0.00727462
         504    -1.53769     -1.5489  0.00726022
