# VELOCITY:     AVE_POFV:        ERROR:
     3.48839   0.0783559  0.00853699
     3.67696     0.05486  0.00617524
     3.86552   0.0277517  0.00448699
     4.05408   0.0172685  0.00471171
     4.24264  0.00601091  0.00232623
      4.4312  0.00303441  0.00138229
     4.61976  0.00132205 0.000823873
     4.80833 0.000453274 0.000435491
     4.99689 0.000143537 0.000137906
     5.18545 9.94684e-05 9.55661e-05
     5.37401           0           0
     5.56257           0           0
   0.0942809   0.0032526 0.000838342
    0.282843   0.0323319  0.00366381
    0.471405    0.103659  0.00963771
    0.659966     0.15835   0.0089702
    0.848528    0.257392   0.0137108
     1.03709    0.352134   0.0189011
     1.22565    0.419745   0.0195955
     1.41421    0.503531   0.0198786
     1.60278    0.503459   0.0169288
     1.79134    0.518184   0.0188347
      1.9799    0.469995   0.0199171
     2.16846    0.422004   0.0239998
     2.35702    0.367484   0.0143504
     2.54558    0.323464    0.024493
     2.73415    0.252255   0.0149658
     2.92271    0.170559   0.0152973
     3.11127    0.162078   0.0108302
     3.29983   0.0977568   0.0103777
     3.48839   0.0746496   0.0086946
     3.67696   0.0541308  0.00577703
     3.86552   0.0269023  0.00424611
     4.05408   0.0170978  0.00437825
     4.24264  0.00774684  0.00273205
      4.4312  0.00326546  0.00130272
     4.61976  0.00122762 0.000770417
     4.80833 0.000420897 0.000405586
     4.99689 0.000133284 0.000128436
     5.18545 9.23635e-05 8.90037e-05
     5.37401           0           0
     5.56257           0           0
   0.0942809  0.00314379 0.000789482
    0.282843   0.0336476  0.00364816
    0.471405    0.101826  0.00916788
    0.659966    0.158841  0.00838566
    0.848528    0.254976   0.0130079
     1.03709    0.348033   0.0180805
     1.22565    0.420281   0.0182965
     1.41421    0.505884   0.0186921
     1.60278    0.511467   0.0175927
     1.79134    0.516435   0.0176601
      1.9799    0.468325   0.0186591
     2.16846    0.425915   0.0227163
     2.35702    0.365621   0.0135141
     2.54558    0.323054   0.0228636
     2.73415    0.252146   0.0139685
     2.92271    0.169248   0.0143335
     3.11127    0.159194   0.0104852
     3.29983   0.0992154  0.00978782
     3.48839   0.0751006  0.00812666
     3.67696   0.0557043  0.00560207
     3.86552   0.0265874   0.0039747
     4.05408   0.0163147  0.00415579
     4.24264  0.00754356  0.00255747
      4.4312  0.00304776  0.00123393
     4.61976  0.00114577  0.00072339
     4.80833 0.000392837 0.000379517
     4.99689 0.000124398  0.00012018
     5.18545 8.62059e-05 8.32828e-05
     5.37401           0           0
     5.56257           0           0
   0.0942809  0.00354269 0.000834858
    0.282843   0.0347047  0.00357002
    0.471405    0.103769  0.00879854
    0.659966    0.158648  0.00786379
    0.848528    0.256788   0.0123203
     1.03709     0.34692   0.0169847
     1.22565    0.420731   0.0171585
     1.41421    0.501048   0.0181385
     1.60278    0.512457   0.0165209
     1.79134    0.511969   0.0171116
      1.9799    0.475215   0.0187219
     2.16846    0.429504   0.0215781
     2.35702    0.365803   0.0126707
     2.54558    0.321831   0.0214673
     2.73415    0.251447   0.0131129
     2.92271     0.16756   0.0135367
