# DISTANCE:     AVE_GOFR:        ERROR:
    0.859263 6.07884e-06 5.68623e-06
    0.884913  0.00125522 0.000124505
    0.910562   0.0245653 0.000540552
    0.936212     0.16335  0.00245597
    0.961861    0.560121  0.00479035
    0.987511     1.19525  0.00591364
     1.01316     1.86733  0.00669604
     1.03881     2.33093  0.00704944
     1.06446     2.54914  0.00668244
     1.09011     2.54397  0.00612397
     1.11576     2.40105  0.00738215
     1.14141     2.19891  0.00589207
     1.16706     1.97039  0.00571735
     1.19271     1.75901  0.00523772
     1.21836      1.5627  0.00526586
     1.24401     1.39716  0.00376105
     1.26966     1.24566  0.00288083
     1.29531     1.12424  0.00311303
     1.32096     1.02739   0.0032228
     1.34661    0.947466  0.00291419
     1.37226    0.875758  0.00278808
     1.39791    0.817683  0.00197692
     1.42355     0.77907  0.00246167
      1.4492    0.740408  0.00336469
     1.47485    0.711842   0.0023981
      1.5005    0.691173  0.00287427
     1.52615    0.679893  0.00326969
      1.5518    0.671661  0.00296538
     1.57745    0.671883  0.00236789
      1.6031    0.676123  0.00192119
     1.62875    0.685612  0.00244625
      1.6544    0.698701  0.00251854
     1.68005    0.721423  0.00218869
      1.7057    0.749465  0.00289637
     1.73135    0.778416  0.00269832
       1.757    0.812003  0.00223192
     1.78265     0.84807  0.00252566
      1.8083    0.891923  0.00218428
     1.83395    0.934462  0.00302785
      1.8596    0.972053  0.00363689
     1.88525     1.01802   0.0037284
      1.9109     1.05683   0.0028134
     1.93655     1.09375  0.00406401
      1.9622     1.12865  0.00331444
     1.98785     1.15875  0.00277175
      2.0135     1.18315  0.00245629
     2.03915     1.20126  0.00233912
      2.0648     1.21548  0.00227933
     2.09045     1.21664  0.00177888
      2.1161     1.21033  0.00242209
     2.14174     1.19573  0.00170048
     2.16739     1.17488  0.00337189
     2.19304     1.15181  0.00169148
     2.21869     1.12668  0.00204262
     2.24434     1.09859   0.0036274
     2.26999     1.06792  0.00176581
     2.29564     1.04077  0.00336565
     2.32129     1.01564   0.0029342
     2.34694    0.992526  0.00357111
     2.37259       0.972  0.00258131
     2.39824    0.950164  0.00269032
     2.42389    0.933385  0.00223312
     2.44954    0.919368  0.00208377
     2.47519    0.908568  0.00218405
     2.50084    0.895625  0.00160459
     2.52649    0.885189   0.0015885
     2.55214    0.887319  0.00183624
