#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         524     1.59703     1.59633 4.24188e-05
         525     1.59702     1.59633 4.23584e-05
         526     1.59701     1.59633 4.22974e-05
         527     1.59699     1.59633 4.22357e-05
         528     1.59698     1.59633 4.21733e-05
         529     1.59696     1.59634   4.211e-05
         530     1.59694     1.59634  4.2046e-05
         531     1.59692     1.59634 4.19809e-05
         532     1.59689     1.59634 4.19149e-05
         533     1.59686     1.59634 4.18477e-05
         534     1.59683     1.59634 4.17794e-05
         535      1.5968     1.59634   4.171e-05
         536     1.59676     1.59634 4.16395e-05
         537     1.59672     1.59634  4.1568e-05
         538     1.59668     1.59634 4.14955e-05
         539     1.59664     1.59634 4.14223e-05
         540      1.5966     1.59634 4.13482e-05
         541     1.59655     1.59635 4.12736e-05
         542     1.59651     1.59635 4.11985e-05
         543     1.59646     1.59635 4.11232e-05
         544     1.59642     1.59635 4.10478e-05
         545     1.59637     1.59635 4.09725e-05
         546     1.59633     1.59635 4.08975e-05
         547     1.59629     1.59635 4.08228e-05
         548     1.59624     1.59635 4.07488e-05
         549      1.5962     1.59635 4.06754e-05
         550     1.59616     1.59635 4.06029e-05
         551     1.59612     1.59634 4.05312e-05
         552     1.59609     1.59634 4.04605e-05
         553     1.59605     1.59634 4.03909e-05
         554     1.59601     1.59634 4.03225e-05
         555     1.59598     1.59634 4.02553e-05
         556     1.59594     1.59634 4.01893e-05
         557     1.59591     1.59634 4.01245e-05
         558     1.59589     1.59634 4.00608e-05
         559     1.59586     1.59634 3.99982e-05
         560     1.59584     1.59634 3.99366e-05
         561     1.59583     1.59634 3.98759e-05
         562     1.59581     1.59634 3.98161e-05
         563     1.59579     1.59634 3.97572e-05
         564     1.59578     1.59633 3.96989e-05
         565     1.59578     1.59633  3.9641e-05
         566     1.59577     1.59633 3.95834e-05
         567     1.59577     1.59633 3.95261e-05
         568     1.59577     1.59633  3.9469e-05
         569     1.59577     1.59633 3.94121e-05
         570     1.59577     1.59633 3.93553e-05
         571     1.59578     1.59633 3.92981e-05
         572     1.59579     1.59633 3.92408e-05
         573      1.5958     1.59633 3.91832e-05
         574     1.59581     1.59632 3.91252e-05
         575     1.59582     1.59632  3.9067e-05
         576     1.59583     1.59632 3.90084e-05
         577     1.59585     1.59632 3.89495e-05
         578     1.59586     1.59632 3.88903e-05
         579     1.59588     1.59632 3.88306e-05
         580      1.5959     1.59632 3.87705e-05
         581     1.59592     1.59632 3.87099e-05
         582     1.59594     1.59632 3.86488e-05
         583     1.59596     1.59632 3.85873e-05
         584     1.59598     1.59632 3.85255e-05
         585     1.59601     1.59632 3.84632e-05
         586     1.59603     1.59632 3.84007e-05
         587     1.59606     1.59632 3.83377e-05
         588     1.59608     1.59632 3.82746e-05
         589     1.59611     1.59632 3.82112e-05
         590     1.59613     1.59632 3.81478e-05
         591     1.59615     1.59631 3.80842e-05
         592     1.59618     1.59631 3.80206e-05
         593      1.5962     1.59631  3.7957e-05
         594     1.59622     1.59631 3.78934e-05
         595     1.59624     1.59631 3.78299e-05
         596     1.59627     1.59631 3.77666e-05
         597     1.59628     1.59631 3.77033e-05
         598      1.5963     1.59631 3.76403e-05
         599     1.59633     1.59631 3.75775e-05
         600     1.59635     1.59631 3.75149e-05
         601     1.59637     1.59631 3.74526e-05
         602     1.59639     1.59631 3.73906e-05
         603     1.59641     1.59631 3.73289e-05
         604     1.59644     1.59631 3.72677e-05
         605     1.59646     1.59631 3.72068e-05
         606     1.59647     1.59632 3.71463e-05
         607     1.59649     1.59632 3.70862e-05
         608     1.59651     1.59632 3.70266e-05
         609     1.59653     1.59632 3.69674e-05
         610     1.59655     1.59632 3.69088e-05
         611     1.59656     1.59632 3.68506e-05
         612     1.59658     1.59632 3.67929e-05
         613     1.59659     1.59632 3.67357e-05
         614     1.59661     1.59632 3.66789e-05
         615     1.59662     1.59632 3.66225e-05
         616     1.59664     1.59632 3.65668e-05
         617     1.59666     1.59632 3.65116e-05
         618     1.59667     1.59632 3.64569e-05
         619     1.59668     1.59632 3.64026e-05
         620     1.59669     1.59632 3.63488e-05
         621     1.59671     1.59632 3.62956e-05
         622     1.59672     1.59632 3.62429e-05
         623     1.59673     1.59632 3.61907e-05
         624     1.59675     1.59632 3.61392e-05
         625     1.59676     1.59632 3.60881e-05
         626     1.59677     1.59633 3.60375e-05
         627     1.59678     1.59633 3.59873e-05
         628     1.59679     1.59633 3.59375e-05
         629      1.5968     1.59633 3.58882e-05
         630     1.59681     1.59633 3.58392e-05
         631     1.59682     1.59633 3.57907e-05
         632     1.59682     1.59633 3.57426e-05
         633     1.59683     1.59633 3.56948e-05
         634     1.59684     1.59633 3.56474e-05
         635     1.59685     1.59633 3.56005e-05
         636     1.59685     1.59633 3.55537e-05
         637     1.59686     1.59633 3.55075e-05
         638     1.59687     1.59633 3.54616e-05
         639     1.59687     1.59634 3.54161e-05
         640     1.59688     1.59634 3.53708e-05
         641     1.59689     1.59634  3.5326e-05
         642     1.59689     1.59634 3.52814e-05
         643     1.59689     1.59634  3.5237e-05
         644      1.5969     1.59634 3.51931e-05
         645      1.5969     1.59634 3.51492e-05
         646      1.5969     1.59634 3.51056e-05
         647     1.59691     1.59634 3.50622e-05
         648     1.59691     1.59634  3.5019e-05
         649     1.59691     1.59634  3.4976e-05
         650     1.59691     1.59635 3.49331e-05
         651     1.59691     1.59635 3.48903e-05
         652     1.59691     1.59635 3.48476e-05
         653     1.59691     1.59635 3.48048e-05
         654     1.59691     1.59635 3.47621e-05
         655      1.5969     1.59635 3.47193e-05
         656      1.5969     1.59635 3.46766e-05
         657      1.5969     1.59635 3.46338e-05
         658     1.59689     1.59635  3.4591e-05
         659     1.59689     1.59635 3.45483e-05
         660     1.59689     1.59635 3.45055e-05
         661     1.59689     1.59635 3.44629e-05
         662     1.59689     1.59636 3.44201e-05
         663     1.59689     1.59636 3.43775e-05
         664     1.59688     1.59636 3.43348e-05
         665     1.59688     1.59636  3.4292e-05
         666     1.59687     1.59636 3.42493e-05
         667     1.59687     1.59636 3.42066e-05
         668     1.59687     1.59636 3.41639e-05
         669     1.59687     1.59636 3.41212e-05
         670     1.59686     1.59636 3.40785e-05
         671     1.59686     1.59636 3.40357e-05
         672     1.59685     1.59636 3.39927e-05
         673     1.59684     1.59636 3.39497e-05
         674     1.59683     1.59636 3.39065e-05
