#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         473     1.95251      1.9291  0.00139629
         474     1.95213     1.92915  0.00139419
         475     1.95175      1.9292  0.00139207
         476     1.95137     1.92924  0.00138992
         477       1.951     1.92929  0.00138776
         478     1.95062     1.92933  0.00138557
         479     1.95025     1.92938  0.00138337
         480     1.94988     1.92942  0.00138114
         481     1.94952     1.92946   0.0013789
         482     1.94915      1.9295  0.00137665
         483     1.94879     1.92954  0.00137438
         484     1.94843     1.92958  0.00137209
         485     1.94807     1.92962  0.00136979
         486     1.94771     1.92966  0.00136748
         487     1.94735     1.92969  0.00136515
         488     1.94699     1.92973  0.00136281
         489     1.94663     1.92976  0.00136047
         490     1.94627      1.9298  0.00135811
         491     1.94591     1.92983  0.00135574
         492     1.94555     1.92986  0.00135336
         493     1.94518     1.92989  0.00135097
         494     1.94481     1.92992  0.00134857
         495     1.94444     1.92995  0.00134617
         496     1.94406     1.92998  0.00134375
         497     1.94367     1.93001  0.00134133
         498     1.94328     1.93004   0.0013389
         499     1.94289     1.93006  0.00133647
         500     1.94248     1.93009  0.00133402
         501     1.94207     1.93011  0.00133158
         502     1.94165     1.93013  0.00132912
         503     1.94122     1.93016  0.00132666
         504     1.94078     1.93018   0.0013242
         505     1.94033      1.9302  0.00132173
         506     1.93987     1.93022  0.00131925
         507      1.9394     1.93023  0.00131678
         508     1.93892     1.93025   0.0013143
         509     1.93842     1.93027  0.00131181
         510     1.93792     1.93028  0.00130933
         511      1.9374      1.9303  0.00130684
         512     1.93688     1.93031  0.00130435
         513     1.93634     1.93032  0.00130186
         514     1.93579     1.93033  0.00129937
         515     1.93524     1.93034  0.00129688
         516     1.93468     1.93035  0.00129439
         517     1.93411     1.93036  0.00129191
         518     1.93353     1.93036  0.00128943
         519     1.93295     1.93037  0.00128696
         520     1.93237     1.93037  0.00128449
         521     1.93178     1.93037  0.00128203
         522      1.9312     1.93038  0.00127957
         523     1.93062     1.93038  0.00127712
         524     1.93004     1.93038  0.00127469
         525     1.92948     1.93037  0.00127226
         526     1.92892     1.93037  0.00126984
         527     1.92837     1.93037  0.00126744
         528     1.92783     1.93036  0.00126505
         529     1.92731     1.93036  0.00126267
         530     1.92681     1.93035  0.00126031
         531     1.92633     1.93034  0.00125796
         532     1.92588     1.93033  0.00125562
         533     1.92545     1.93032   0.0012533
         534     1.92504     1.93031  0.00125099
         535     1.92467      1.9303  0.00124869
         536     1.92433     1.93029  0.00124641
         537     1.92403     1.93028  0.00124415
         538     1.92376     1.93027  0.00124189
         539     1.92353     1.93026  0.00123965
         540     1.92334     1.93024  0.00123742
         541     1.92319     1.93023  0.00123521
         542     1.92309     1.93022    0.001233
         543     1.92303      1.9302   0.0012308
         544     1.92301     1.93019  0.00122861
         545     1.92303     1.93018  0.00122642
         546      1.9231     1.93017  0.00122424
         547     1.92322     1.93015  0.00122207
         548     1.92338     1.93014   0.0012199
         549     1.92358     1.93013  0.00121774
         550     1.92382     1.93012  0.00121558
         551     1.92411     1.93011  0.00121342
         552     1.92444      1.9301  0.00121127
         553      1.9248     1.93009  0.00120912
         554     1.92521     1.93008  0.00120697
         555     1.92565     1.93007  0.00120482
         556     1.92612     1.93006  0.00120267
         557     1.92662     1.93006  0.00120053
         558     1.92716     1.93005  0.00119839
         559     1.92772     1.93005  0.00119625
         560      1.9283     1.93004  0.00119412
         561     1.92891     1.93004  0.00119199
         562     1.92953     1.93004  0.00118987
         563     1.93017     1.93004  0.00118776
         564     1.93083     1.93004  0.00118565
         565     1.93149     1.93004  0.00118356
         566     1.93217     1.93005  0.00118147
         567     1.93285     1.93005   0.0011794
         568     1.93353     1.93006  0.00117734
         569     1.93421     1.93007  0.00117529
         570      1.9349     1.93008  0.00117326
         571     1.93558     1.93008  0.00117124
         572     1.93625      1.9301  0.00116925
         573     1.93691     1.93011  0.00116727
         574     1.93757     1.93012  0.00116531
         575     1.93821     1.93013  0.00116336
         576     1.93884     1.93015  0.00116144
         577     1.93946     1.93017  0.00115954
         578     1.94005     1.93018  0.00115766
         579     1.94064      1.9302   0.0011558
         580      1.9412     1.93022  0.00115397
         581     1.94174     1.93024  0.00115215
         582     1.94226     1.93026  0.00115036
         583     1.94276     1.93028  0.00114858
         584     1.94324      1.9303  0.00114683
         585     1.94369     1.93033   0.0011451
         586     1.94412     1.93035  0.00114339
         587     1.94453     1.93037  0.00114169
         588     1.94491      1.9304  0.00114002
         589     1.94527     1.93042  0.00113836
         590     1.94561     1.93045  0.00113672
         591     1.94592     1.93048   0.0011351
         592     1.94621      1.9305   0.0011335
         593     1.94647     1.93053   0.0011319
         594     1.94671     1.93056  0.00113033
         595     1.94692     1.93058  0.00112876
         596     1.94711     1.93061  0.00112721
         597     1.94728     1.93064  0.00112566
         598     1.94743     1.93067  0.00112413
         599     1.94755      1.9307  0.00112261
         600     1.94765     1.93072  0.00112109
         601     1.94773     1.93075  0.00111958
         602     1.94779     1.93078  0.00111808
         603     1.94782     1.93081  0.00111659
         604     1.94784     1.93084  0.00111509
         605     1.94783     1.93087   0.0011136
         606     1.94781     1.93089  0.00111212
         607     1.94777     1.93092  0.00111063
         608     1.94771     1.93095  0.00110915
